eng,tamil,pronunciation,synonym
difference,வேறுபாடு,Vēṟupāṭu,"unlike, dissimilar, different"
different,வெவ்வேறு,Vevvēṟu,"differently, otherwise, other_than"
differently,வித்தியாசமாக,Vittiyācamāka,"difficult, hard, unmanageable"
difficult,கடினம்,Kaṭiṉam,"difficultness, difficulty, trouble"
difficulty,சிரமம்,Ciramam,"prod, slam, toil, stab, jibe, grind, savvy, dig, labour, shot, excavation, dig_out, shaft, moil, grok, digging, jab, cut_into, fag, drudge, barb, apprehend, travail, dig_up, get_the_picture, turn_over, hollow, excavate, delve, compass, grasp, comprehend, poke, labor, archeological_site, gibe"
dig,தோண்டி,Tōṇṭi,digital
digital,டிஜிட்டல்,Ṭijiṭṭal,"property, dimension, proportion, attribute"
dimension,பரிமாணம்,Parimāṇam,"dine, dining, boom, din"
dining,உணவு,Uṇavu,"dinner_party, dinner"
dinner,இரவு உணவு,Iravu uṇavu,"channelise, take, head, orchestrate, channelize, lead, take_aim, aim, place, mastermind, organize, maneuver, conduct, directly, send, guide, manoeuver, organise, direct, address, engineer, lineal, point, steer, target, straight, verbatim, calculate, unmediated, manoeuvre, train"
direct,நேரடி,Nēraṭi,"guidance, centering, commission, focussing, counsel, management, counseling, charge, direction, focal_point, way, focus, steering, instruction, counselling, focusing"
direction,திசையில்,Ticaiyil,"direct, like_a_shot, now, directly, straight_off, straightaway, forthwith, immediately, straight, instantly, right_away, at_once, flat"
directly,நேரடியாக,Nēraṭiyāka,"theater_director, theatre_director, film_director, music_director, conductor, manager, managing_director, director"
director,இயக்குனர்,Iyakkuṉar,"grunge, shit, shite, dirt, turd, malicious_gossip, crap, ungraded, filth, grease, scandal, grime, poop, stain, soil"
dirt,அழுக்கு,Aḻukku,"muddied, soiled, bemire, filthy, soil, muddy, begrime, sordid, dingy, foul, ill-gotten, cheating, colly, marked-up, dirty, unclean, unsportsmanlike, contaminating, pestiferous, lousy, unsporting, grime"
dirty,அழுக்கு,Aḻukku,"disablement, handicap, disability, impairment"
disability,இயலாமை,Iyalāmai,"discord, disaccord, differ, disagree, dissent, take_issue"
disagree,கருத்து வேறுபாடு,Karuttu vēṟupāṭu,"evaporate, disappear, go_away, melt, vanish"
disappear,மறைந்து விடுங்கள்,Maṟaintu viṭuṅkaḷ,"disaster, tragedy, calamity, cataclysm, catastrophe"
disaster,பேரழிவு,Pēraḻivu,"correction, subject, bailiwick, discipline, field, correct, check, condition, sort_out, field_of_study, subject_field, study, train, subject_area"
discipline,ஒழுக்கம்,Oḻukkam,"discussion, discuss, discourse, sermon, dissertate, treatment, converse, hold_forth, preaching, talk_about"
discourse,சொற்பொழிவு,Coṟpoḻivu,"break, get_a_line, light_upon, happen_upon, disclose, hear, detect, discover, find_out, reveal, chance_upon, describe, come_upon, let_on, learn, name, fall_upon, come_across, notice, pick_up, let_out, divulge, identify, get_word, key_out, chance_on, strike, expose, see, observe, find, bring_out, distinguish, get_wind, give_away, key, unwrap, attain"
discover,கண்டுபிடி,Kaṇṭupiṭi,"find, breakthrough, discovery, uncovering"
discovery,கண்டுபிடிப்பு,Kaṇṭupiṭippu,"favoritism, discrimination, secernment, favouritism"
discrimination,பாகுபாடு,Pākupāṭu,"talk_over, discuss, discourse, hash_out, discus, talk_about, saucer"
discuss,விவாதிக்கவும்,Vivātikkavum,"discussion, discourse, treatment, word, give-and-take"
discussion,விவாதம்,Vivātam,disease
disease,நோய்,Nōy,"peach, saucer, cup_of_tea, dish_aerial, knockout, dish_up, sweetheart, stunner, lulu, serve, dish, mantrap, dish_antenna, bag, beauty, serve_up, smasher, ravisher, dish_out, looker, dishful"
dish,சிறு தட்டு,Ciṟu taṭṭu,"terminate, usher_out, give_notice, push_aside, force_out, send_away, fire, discount, brush_off, disregard, can, sack, displace, brush_aside, dissolve, dismiss, ignore, throw_out, give_the_axe, drop, send_packing, give_the_sack"
dismiss,தள்ளுபடி,Taḷḷupaṭi,"disarray, disquiet, disorder, upset, cark, unhinge, distract, disorderliness, perturb, trouble"
disorder,ஒழுங்கற்ற,Oḻuṅkaṟṟa,"exhibit, presentation, show, showing, video_display, display, expose"
display,காட்சி,Kāṭci,"scrap, argufy, quarrel, difference, altercate, conflict, gainsay, contravention, dispute, challenge, difference_of_opinion"
dispute,சர்ச்சை,Carccai,"outstrip, outdistance, length, aloofness, distance, space"
distance,தூரம்,Tūram,"distant, remote, removed, aloof, upstage"
distant,தொலைதூர,Tolaitūra,"trenchant, decided, distinguishable, distinct, discrete, clear-cut"
distinct,வேறுபட்ட,Vēṟupaṭṭa,"distinction, note, preeminence, differentiation, eminence"
distinction,வேறுபாடு,Vēṟupāṭu,"discern, signalise, discover, describe, recognize, differentiate, name, make_out, pick_out, tell_apart, secern, spot, identify, secernate, severalize, key_out, signalize, separate, mark, distinguish, severalise, key, tell, recognise"
distinguish,வேறுபடுத்தி,Vēṟupaṭutti,"deal_out, allot, shell_out, dole_out, mete_out, broadcast, distribute, administer, disseminate, circularize, parcel_out, circularise, disperse, dispense, spread, diffuse, stagger, propagate, hand_out, deal, lot, pass_out, pass_on, dish_out, give_out, pass_around, circulate"
distribute,விநியோகிக்க,Viniyōkikka,"statistical_distribution, dispersion, distribution"
distribution,விநியோகம்,Viniyōkam,"district, territory, territorial_dominion, dominion, zone"
district,மாவட்டம்,Māvaṭṭam,"various, diverse, divers"
diverse,பல்வேறு,Palvēṟu,"multifariousness, variety, diversity, diverseness"
diversity,பன்முகத்தன்மை,Paṉmukattaṉmai,"watershed, split, dissever, divide, split_up, fraction, carve_up, part, disunite, separate, water_parting"
divide,பிரி,Piri,"segmentation, naval_division, section, air_division, sectionalisation, partition, partitioning, sectionalization, division, class, part, variance"
division,பிரிவு,Pirivu,"disassociate, divorce, split_up, divorcement, disunite, disjoint, dissociate"
divorce,விவாகரத்து,Vivākarattu,"desoxyribonucleic_acid, deoxyribonucleic_acid, DNA"
dna,டி.என்.ஏ.,Ṭi.Eṉ.Ē.,"dress, practice, come, answer, execute, ut, arrange, doh, coiffe, suffice, cause, do, get_along, perform, make_out, behave, serve, coif, act, set, exercise, brawl, fare, make, practise, manage, coiffure, bash, Doctor_of_Osteopathy, DO"
do,செய்,Cey,"fix, physician, furbish_up, touch_on, doctor, doctor_up, repair, medico, Dr., mend, Doctor_of_the_Church, MD, restore, doc, Doctor, sophisticate, bushel"
doctor,டாக்டர்,Ṭākṭar,"papers, text_file, written_document, document"
document,ஆவணம்,Āvaṇam,"hot_dog, tag, detent, wienerwurst, chase_after, frump, dog-iron, hotdog, domestic_dog, wiener, blackguard, Canis_familiaris, pawl, andiron, go_after, dog, frank, tail, firedog, track, click, chase, weenie, cad, frankfurter, heel, bounder, trail, give_chase, hound"
dog,நாய்,Nāy,"domestic_help, domesticated, house_servant, domestic"
domestic,உள்நாட்டு,Uḷnāṭṭu,"predominant, prevailing, dominant, rife, prevalent, dominant_allele"
dominant,ஆதிக்கம் செலுத்துதல்,Ātikkam celuttutal,"prevail, master, command, overlook, overshadow, rule, predominate, eclipse, overtop, dominate, reign"
dominate,ஆதிக்கம்,Ātikkam,"doorway, door, threshold, room_access"
door,கதவு,Katavu,"duplicate, doubly, forked, twofold, two-fold, double_up, twice, duple, treble, doubled, image, two-base_hit, bivalent, reduplicate, three-fold, look-alike, stunt_man, two-baser, two-bagger, threefold, repeat, stunt_woman, replicate, double, dual, double_over, doubling"
double,இரட்டிப்பாகும்,Iraṭṭippākum,"dubiety, doubtfulness, doubt, incertitude, question, uncertainty, dubiousness"
doubt,சந்தேகம்,Cantēkam,"gloomy, drink_down, push_down, low, grim, knock_down, fine-tune, blue, pour_down, downcast, down, downward, low-spirited, toss_off, downwards, pop, dispirited, down_pat, down_feather, shoot_down, pull_down, go_through, downwardly, bolt_down, Down, down_in_the_mouth, John_L._H._Down, belt_down, cut_down, kill, polish, refine, mastered, pile, consume, land, devour, downhearted, depressed"
down,கீழ்,Kīḻ,"downtown, business_district"
downtown,டவுன்டவுன்,Ṭavuṉṭavuṉ,"12, XII, twelve, xii, dozen"
dozen,டஜன்,Ṭajaṉ,"blueprint, muster_in, gulp, draught, bill_of_exchange, order_of_payment, draft, selective_service, enlist, muster, rough_drawing, potation, draft_copy, swig, drawing, tipple, outline, conscription"
draft,வரைவு,Varaivu,"puff, drop_back, retarding_force, drop_behind, drag_out, drag, hang_back, cart, draw, tangle, sweep, scuff, hale, haul, get_behind, dredge, drag_in, embroil, drag_on, sweep_up, pull, trail"
drag,இழுக்கவும்,Iḻukkavum,"drama, play, dramatic_event, dramatic_play"
drama,நாடகம்,Nāṭakam,"striking, spectacular, dramatic"
dramatic,வியத்தகு,Viyattaku,dramatically
dramatically,வியத்தகு முறையில்,Viyattaku muṟaiyil,"puff, suck, pass, hook, haulage, force, drag, draw_play, depict, describe, draw_and_quarter, run, pull_out, soak_up, take_in, take_out, take_up, delineate, draw, draw_poker, get_out, drawing_card, withdraw, trace, line, attract, attraction, sop_up, imbibe, pull_back, thread, disembowel, standoff, draw_in, reap, attractor, string, haul, cast, guide, quarter, make, attracter, eviscerate, lot, get, hooking, draw_off, suck_up, pull_in, tie, pull, absorb"
draw,வரை,Varai,"puff, suck, drawing_off, lottery, pass, draft, force, drag, depict, describe, draw_and_quarter, run, pull_out, soak_up, take_in, take_out, take_up, delineate, draw, get_out, withdraw, drafting, trace, line, attract, sop_up, imbibe, pull_back, thread, disembowel, draftsmanship, draught, draw_in, reap, string, cast, guide, quarter, make, eviscerate, get, draw_off, drawing, suck_up, pull_in, tie, pull, absorb"
drawing,வரைந்து,Varaintu,"dreaming, ambition, daydream, stargaze, woolgather, aspiration, pipe_dream, dream"
dream,கனவு,Kaṉavu,"dress, curry, prune, wearing_apparel, full-dress, crop, preen, raiment, decorate, arrange, lop, coiffe, groom, dress_out, trim, do, dress_up, garment, fit_out, tog, coif, attire, set, line_up, cut_back, garb, plume, enclothe, frock, primp, garnish, snip, habilitate, coiffure, clothe, get_dressed, clothes, apparel, clip"
dress,பிடித்த,Piṭitta,"boozing, drunkenness, pledge, drink_in, fuddle, toast, swallow, beverage, deglutition, drinkable, drinking, tope, imbibe, salute, wassail, potable, drink, crapulence, booze"
drink,பானம்,Pāṉam,"driving_force, take, force, tug, aim, labour, movement, thrust, cause, driving, crusade, private_road, repel, campaign, repulse, beat_back, motor, ram, ride, parkway, get, drive, driveway, force_back, push_back, labor, effort, push"
drive,இயக்கி,Iyakki,"device_driver, number_one_wood, driver"
driver,இயக்கி,Iyakki,"drop_curtain, devolve, send_away, spend, throw_off, dribble, sink, cast_off, driblet, shake_off, cliff, knock_off, free_fall, throw, drop_cloth, fell, overleap, neglect, omit, dip, degenerate, drop_off, pearl, unload, leave_out, deteriorate, shed, pretermit, cast, drib, put_down, flatten, discharge, drip, swing, fall, dismiss, bead, drop-off, drop_down, strike_down, cut_down, set_down, miss, overlook, expend, drop, send_packing, dangle, throw_away"
drop,கைவிட,Kaiviṭa,"do_drugs, drug, dose"
drug,மருந்து,Maruntu,"wry, ironic, juiceless, prohibitionist, dry_out, ironical, teetotal, dry"
dry,உலர்ந்த,Ularnta,"referable, due, ascribable, imputable"
due,காரணமாக,Kāraṇamāka,set()
during,போது,Pōtu,"debris, junk, disperse, rubble, dot, detritus, sprinkle, dust, scatter"
dust,தூசி,Tūci,"obligation, responsibility, duty, tariff"
duty,கடமை,Kaṭamai,"netmail, e-mail, email, electronic_mail"
e-mail,மின்னஞ்சல்,Miṉṉañcal,"for_each_one, each, from_each_one, apiece, to_each_one"
each,ஒவ்வொரு,Ovvoru,"eager, tidal_bore, bore, aegir, eagre"
eager,ஆர்வமாக,Ārvamāka,"capitulum, auricle, ear, spike, pinna"
ear,காது,Kātu,"former, early, betimes, ahead_of_time, early_on, too_soon, other"
early,ஆரம்ப,Ārampa,"realise, bring_in, gain, earn, realize, garner, pull_in, clear, take_in, make"
earn,சம்பாதி,Campāti,"pay, earn, clear, wage, take_in, lucre, net, profits, garner, remuneration, realise, earnings, gain, net_income, net_profit, make, bring_in, realize, pull_in, salary, profit"
earnings,வருவாய்,Varuvāy,"dry_land, world, worldly_concern, Earth, terra_firma, globe, ground, land, earthly_concern, earth, solid_ground"
earth,பூமியின்,Pūmiyiṉ,"comfort, easiness, allay, rest, relieve, alleviate, simplicity, informality, still, relief, relaxation, ease, repose, facilitate, simpleness"
ease,எளிது,Eḷitu,"easy, well, easily"
easily,எளிதாக,Eḷitāka,"eastward, East, eastern_United_States, E, Orient, due_east, east"
east,கிழக்கு,Kiḻakku,"eastern, easterly"
eastern,கிழக்கு நோக்கி,Kiḻakku nōkki,"well-fixed, well-heeled, slow, wanton, tardily, easily, sluttish, well-to-do, loose, gentle, promiscuous, well-off, light, easygoing, slowly, prosperous, leisurely, comfortable, easy, soft, well-situated"
easy,சுலபம்,Culapam,"rust, eat_on, feed, consume, wipe_out, deplete, corrode, use_up, eat, exhaust, run_through, eat_up"
eat,சாப்பிடுங்கள்,Cāppiṭuṅkaḷ,"economical, economic"
economic,பொருளாதார,Poruḷātāra,"economics, economic_science, political_economy"
economics,பொருளாதாரம்,Poruḷātāram,"economist, economic_expert"
economist,பொருளாதார வல்லுனர்,Poruḷātāra valluṉar,"saving, economy, economic_system, thriftiness"
economy,பொருளாதாரம்,Poruḷātāram,"border, adjoin, edge, butt, inch, butt_on, boundary, march, abut, butt_against, bound, sharpness"
edge,விளிம்பு,Viḷimpu,"edition, variant, version, variation"
edition,பதிப்பு,Patippu,"editor_program, editor_in_chief, editor"
editor,ஆசிரியர்,Āciriyar,"prepare, civilise, cultivate, civilize, school, develop, educate, train"
educate,கல்வி,Kalvi,"educational_activity, Department_of_Education, breeding, Education_Department, pedagogy, education, instruction, teaching, Education, training, didactics"
education,கல்வி,Kalvi,educational
educational,கல்வி,Kalvi,"pedagogue, pedagog, educator"
educator,கல்வியாளர்,Kalviyāḷar,"effect, upshot, effectuate, burden, set_up, consequence, issue, impression, gist, force, core, event, result, essence, outcome"
effect,விளைவு,Viḷaivu,"in_effect, efficient, good, effective, in_force, effectual, efficacious"
effective,திறமையான,Tiṟamaiyāṉa,"effectively, in_effect, efficaciously"
effectively,திறம்பட,Tiṟampaṭa,efficiency
efficiency,திறன்,Tiṟaṉ,"efficient, effective"
efficient,திறமையான,Tiṟamaiyāṉa,"exploit, campaign, attempt, try, feat, sweat, movement, travail, cause, drive, exertion, effort, endeavor, elbow_grease, crusade, endeavour"
effort,முயற்சி,Muyaṟci,"nut, ball, orchis, egg, eggs, ballock, testis, bollock, testicle"
egg,முட்டை,Muṭṭai,"octonary, 8, Eight, octad, ogdoad, eight-spot, eight, eighter, eighter_from_Decatur, VIII, octet, Ashcan_School, viii"
eight,எட்டு,Eṭṭu,either
either,ஒன்று,Oṉṟu,"older, elderly, senior, aged"
elderly,முதியவர்கள்,Mutiyavarkaḷ,"elect, elite, chosen"
elect,தேர்வு,Tērvu,election
election,தேர்தல்,Tērtal,"electric_automobile, electrical, electric, galvanizing, electric_car, galvanising, galvanic"
electric,மின்சார,Miṉcāra,"electricity, electrical_energy"
electricity,மின்சாரம்,Miṉcāram,electronic
electronic,மின்னணு,Miṉṉaṇu,"constituent, factor, element, ingredient, component, chemical_element"
element,உறுப்பு,Uṟuppu,"unproblematic, simple, primary, uncomplicated, elemental, elementary"
elementary,அடிப்படை,Aṭippaṭai,"carry_off, get_rid_of, extinguish, rid_of, decimate, annihilate, eradicate, pass, reject, winnow_out, egest, excrete, do_away_with, eliminate, rule_out, obviate, wipe_out"
eliminate,அகற்ற,Akaṟṟa,"elite, elite_group, elect"
elite,எலைட்,Elaiṭ,set()
else,வேறு,Vēṟu,elsewhere
elsewhere,மற்ற இடங்களில்,Maṟṟa iṭaṅkaḷil,"bosom, encompass, sweep_up, comprehend, embrace, embracing, hug, squeeze, adopt, cover, embracement, espouse"
embrace,தழுவி,Taḻuvi,"come_forth, come_out, go_forth, issue, egress, emerge"
emerge,வெளிப்படையாக,Veḷippaṭaiyāka,"hand_brake, parking_brake, emergency, exigency, emergency_brake, pinch"
emergency,அவசரம்,Avacaram,"discharge, emanation, emission, expelling"
emission,உமிழ்வு,Umiḻvu,emotion
emotion,உணர்ச்சி,Uṇarcci,"aroused, worked_up, emotional, excited"
emotional,உணர்ச்சி,Uṇarcci,"stress, vehemence, accent, emphasis"
emphasis,வலியுறுத்தல்,Valiyuṟuttal,"underscore, accent, stress, punctuate, underline, accentuate, emphasise, emphasize"
emphasize,வலியுறுத்தவும்,Valiyuṟuttavum,"use, utilize, hire, engage, employment, apply, utilise, employ"
employ,வேலை,Vēlai,employee
employee,பணியாளர்,Paṇiyāḷar,employer
employer,முதலாளி,Mutalāḷi,"use, employment, usage, exercise, utilization, work, engagement, employ, utilisation"
employment,வேலைவாய்ப்பு,Vēlaivāyppu,"empty-bellied, void, vacate, empty, abandon, evacuate, hollow, discharge, vacuous"
empty,காலியாக,Kāliyāka,enable
enable,இயக்கு,Iyakku,"meeting, coming_upon, skirmish, bump, take_on, brush, chance, receive, run_into, clash, come_across, encounter, run_across, play, happen, meet, confrontation, see, face-off, find, showdown"
encounter,என்கவுண்டர்,Eṉkavuṇṭar,"promote, encourage, further, boost, advance"
encourage,ஊக்குவித்தல்,Ūkkuvittal,"ending, destruction, conclusion, terminate, cease, finish, closing, close, stop, end, remnant, terminal, remainder, goal, death, oddment, last, final_stage"
end,முடிவு,Muṭivu,"opposition, enemy, foe, foeman"
enemy,எதிரியின்,Etiriyiṉ,"Energy_Department, vigor, DOE, vim, free_energy, energy, vitality, Department_of_Energy, vigour, Energy, zip, muscularity, push, get-up-and-go"
energy,ஆற்றல்,Āṟṟal,enforcement
enforcement,அமலாக்க,Amalākka,set()
engage,ஈடுபடுங்கள்,Īṭupaṭuṅkaḷ,"engage, lease, take, lock, wage, mesh, plight, hire, betroth, pursue, charter, prosecute, affiance, operate, enlist, engross, occupy, rent, absorb, employ"
engine,இயந்திரம்,Iyantiram,"locomotive, engine, railway_locomotive, locomotive_engine"
engineer,பொறியாளர்,Poṟiyāḷar,"engineer, direct, applied_scientist, technologist, locomotive_engineer, engine_driver, mastermind, railroad_engineer, orchestrate, organize, organise"
engineering,பொறியியல்,Poṟiyiyal,"engineer, direct, organize, engine_room, engineering_science, applied_science, technology, mastermind, orchestrate, engineering, organise"
english,ஆங்கிலம்,Āṅkilam,"English_people, English_language, side, English"
enhance,அதிகரிக்க,Atikarikka,"raise, heighten, enhance"
enjoy,மகிழுங்கள்,Makiḻuṅkaḷ,"relish, love, delight, savour, revel, bask, enjoy, savor"
enormous,மகத்தான,Makattāṉa,"tremendous, enormous"
enough,போதும்,Pōtum,"enough, sufficiency, plenty, decent, adequate"
ensure,உறுதி,Uṟuti,"ascertain, guarantee, ensure, see, control, assure, check, secure, insure, see_to_it"
enter,உள்ளிடவும்,Uḷḷiṭavum,"go_into, get_in, participate, inscribe, figure, accede, embark, get_into, infix, move_into, enrol, record, go_in, recruit, introduce, put_down, insert, enroll, enter, come_in"
enterprise,தொழில்,Toḻil,"enterprisingness, enterprise, initiative, endeavor, go-ahead, endeavour"
entertainment,பொழுதுபோக்கு,Poḻutupōkku,"entertainment, amusement"
entire,முழு,Muḻu,"stallion, entire, total, full, intact, integral"
entirely,முற்றிலும்,Muṟṟilum,"all, completely, wholly, whole, entirely, alone, exclusively, solely, only, totally, altogether"
entrance,நுழைவு,Nuḻaivu,"spellbind, entree, capture, ingress, enamour, entering, fascinate, charm, entryway, entrance, enamor, trance, entry, beguile, becharm, incoming, catch, entranceway, captivate, bewitch, enchant"
entry,நுழைவு,Nuḻaivu,"submission, entranceway, ledger_entry, debut, unveiling, entree, introduction, launching, entry, accounting_entry, entrance, entryway, ingress, incoming, entering, first_appearance"
environment,சுற்றுச்சூழல்,Cuṟṟuccūḻal,"environment, surround, surroundings, environs"
environmental,சுற்றுச்சூழல்,Cuṟṟuccūḻal,environmental
episode,எபிசோடை,Epicōṭai,"episode, instalment, installment, sequence"
equal,சம,Cama,"match, compeer, touch, rival, equalize, equalise, equal, equate, peer, be, adequate"
equally,சமமாக,Camamāka,"every_bit, evenly, equally, as"
equipment,உபகரணங்கள்,Upakaraṇaṅkaḷ,equipment
era,சகாப்தம்,Cakāptam,"epoch, earned_run_average, ERA, era, geological_era"
error,பிழை,Piḻai,"erroneous_belief, wrongdoing, computer_error, fault, error, mistake, erroneousness, misplay"
escape,எஸ்கேப்,Eskēp,"turn_tail, flight, escapism, leak, safety_valve, hightail_it, leakage, run, get_off, dodging, escape_cock, break_away, bunk, get_out, evasion, elude, scat, take_to_the_woods, get_away, get_by, lam, escape, fly_the_coop, escape_valve, head_for_the_hills, break_loose, outflow, miss, run_away, relief_valve, scarper"
especially,குறிப்பாக,Kuṟippāka,"particularly, peculiarly, especially, specially"
essay,கட்டுரை,Kaṭṭurai,"attempt, try, seek, assay, essay, test, try_out, examine, prove"
essential,அத்தியாவசிய,Attiyāvaciya,"necessary, all_important, essential, necessity, of_the_essence, substantive, crucial, indispensable, requisite, requirement, all-important"
essentially,அடிப்படையில்,Aṭippaṭaiyil,"essentially, basically, fundamentally"
establish,நிறுவுதல்,Niṟuvutal,"build, show, ground, instal, plant, launch, lay_down, shew, install, demonstrate, constitute, prove, establish, found, base, make, institute, set_up, give"
establishment,நிறுவுதல்,Niṟuvutal,"governing_body, administration, constitution, governance, formation, validation, establishment, brass, organisation, organization, ecesis, institution"
estate,எஸ்டேட்,Esṭēṭ,"the_three_estates, demesne, landed_estate, land, estate_of_the_realm, estate, acres"
estimate,மதிப்புமிக்க,Matippumikka,"estimate, estimation, appraisal, reckon, idea, approximate, approximation, forecast, gauge, figure, calculate, judge, count_on, guess"
etc,முதலியன,Mutaliyaṉa,set()
ethics,நெறிமுறைகள்,Neṟimuṟaikaḷ,"moral_principle, ethics, ethical_code, value-system, ethical_motive, value_orientation, morality, moral_philosophy, ethic, morals"
ethnic,இன,Iṉa,"cultural, pagan, ethnical, heathen, heathenish, ethnic"
european,ஐரோப்பிய,Airōppiya,European
evaluate,மதிப்பிடு,Matippiṭu,"appraise, pass_judgment, value, assess, valuate, judge, evaluate, measure"
evaluation,மதிப்பிடுதல்,Matippiṭutal,"valuation, evaluation, rating"
even,கூட,Kūṭa,"flush, even_out, fifty-fifty, even, eve, regular, eventide, still, level, evening, tied, yet"
evening,சாயங்காலம்,Cāyaṅkālam,"flush, even_out, even, eve, eventide, level, evening"
event,நிகழ்வு,Nikaḻvu,"effect, upshot, event, consequence, issue, case, result, outcome"
eventually,இறுதியில்,Iṟutiyil,"eventually, finally"
ever,எப்போதும்,Eppōtum,"ever, always, of_all_time, ""eer"", ever_so"
every,ஒவ்வொரு,Ovvoru,every
everybody,எல்லோரும்,Ellōrum,set()
everyday,தினமும்,Tiṉamum,"casual, everyday, unremarkable, daily, workaday, routine, mundane, quotidian"
everyone,எல்லோரும்,Ellōrum,set()
everything,எல்லாம்,Ellām,set()
everywhere,எல்லா இடங்களிலும்,Ellā iṭaṅkaḷilum,"everyplace, everywhere, all_over"
evidence,ஆதாரம்,Ātāram,"testify, show, grounds, bear_witness, certify, manifest, evidence, tell, attest, demonstrate, prove"
evolution,பரிணாமம்,Pariṇāmam,"phylogenesis, phylogeny, organic_evolution, development, evolution"
evolve,பரிணாமம்,Pariṇāmam,"evolve, develop, germinate, acquire"
exact,சரியான,Cariyāṉa,"claim, exact, take, demand, precise, accurate"
exactly,சரியாக,Cariyāka,"on_the_dot, just, exactly, on_the_nose, precisely, on_the_button, incisively"
examination,பரிசோதனை,Paricōtaṉai,"exam, scrutiny, interrogation, test, interrogatory, examen, testing, examination"
examine,ஆராயுங்கள்,Ārāyuṅkaḷ,"analyze, try, analyse, try_out, see, essay, probe, test, canvass, canvas, study, examine, prove"
example,உதாரணமாக,Utāraṇamāka,"instance, lesson, exercise, exemplar, example, illustration, good_example, model, deterrent_example, object_lesson, representative, case"
exceed,அதிகமாக,Atikamāka,"transcend, go_past, outgo, outstrip, surmount, pass, exceed, outperform, outdo, top, outmatch, overstep, surpass"
excellent,சிறந்த,Ciṟanta,"splendid, fantabulous, first-class, excellent"
except,தவிர,Tavira,"exclude, leave_out, except, demur, omit, leave_off, take_out"
exception,விதிவிலக்கு விதிவிலக்கு,Vitivilakku vitivilakku,"exclusion, elision, exception"
exchange,பரிமாற்றம்,Parimāṟṟam,"rally, commutation, replace, central, convert, switch_over, exchange, substitution, commute, telephone_exchange, interchange, switch, change, substitute"
exciting,உற்சாகமான,Uṟcākamāṉa,"shake, arouse, stimulate, charge, commove, wind_up, exciting, energize, charge_up, excite, sex, agitate, energise, rouse, turn_on, shake_up, stir"
executive,நிர்வாகிகள்,Nirvākikaḷ,"executive, administrator, executive_director"
exercise,உடற்பயிற்சி,Uṭaṟpayiṟci,"exert, practice, practice_session, recitation, exercising, utilisation, use, employment, drill, work_out, do, work, physical_exercise, physical_exertion, exercise, utilization, practise, usage, workout, example"
exhibit,கண்காட்சி,Kaṇkāṭci,"exhibit, show, showing, parade, display, present, demo, march, expose, demonstrate"
exhibition,கண்காட்சி,Kaṇkāṭci,"exposition, exhibition, expo"
exist,உள்ளன,Uḷḷaṉa,"survive, exist, live, subsist, be"
existence,இருப்பு,Iruppu,"being, world, existence, cosmos, universe, beingness, macrocosm, creation"
existing,இருக்கும்,Irukkum,"survive, exist, live, existing, subsist, be, existent"
expand,விரிவுபடுத்தவும்,Virivupaṭuttavum,"expatiate, expound, exposit, flesh_out, dilate, boom, flourish, lucubrate, amplify, extend, expand, thrive, enlarge, elaborate, spread_out, inflate, blow_up"
expansion,விரிவாக்கம்,Virivākkam,"enlargement, elaboration, expanding_upon, expansion"
expect,எதிர்பார்ப்பு,Etirpārppu,"require, look, anticipate, wait, ask, bear, carry, await, have_a_bun_in_the_oven, expect, gestate"
expectation,எதிர்பார்ப்பு,Etirpārppu,"arithmetic_mean, first_moment, anticipation, expected_value, expectation, outlook, prospect"
expense,இழப்புக்கள்,Iḻappukkaḷ,"expense, write_off, disbursal, disbursement, write_down"
expensive,விலையுயர்ந்த,Vilaiyuyarnta,expensive
experience,அனுபவம்,Aṉupavam,"go_through, feel, get, know, have, receive, experience, live, see"
experiment,சோதனை,Cōtaṉai,"experiment, try_out, experimentation"
expert,நிபுணர்,Nipuṇar,"expert, practiced, adept, proficient, skilful, good, skillful, technical"
explain,விளக்க,Viḷakka,"explain, excuse, explicate"
explanation,விளக்கம்,Viḷakkam,"account, explanation"
explode,வெடிக்கும்,Veṭikkum,"detonate, irrupt, explode, break_loose, burst_forth, set_off, burst, blow_up"
explore,ஆராயுங்கள்,Ārāyuṅkaḷ,"search, explore, research"
explosion,வெடிப்பு,Veṭippu,"detonation, burst, explosion, blowup, plosion"
expose,அம்பலமாக்கு,Ampalamākku,"break, disclose, discover, reveal, let_on, unmasking, debunk, uncover, display, let_out, divulge, peril, queer, expose, exhibit, endanger, bring_out, give_away, scupper, unwrap"
exposure,நேரிடுவது,Nēriṭuvatu,"exposure, pic, vulnerability, photo, photograph, picture"
express,எக்ஸ்பிரஸ்,Ekspiras,"verbalise, express, express_mail, state, show, convey, evince, utter, limited, give_tongue_to, press_out, carry, extract, expressage, verbalize"
expression,வெளிப்பாடு,Veḷippāṭu,"manifestation, facial_expression, look, verbal_expression, formula, verbalism, face, construction, reflection, reflexion, grammatical_construction, expression, formulation, saying, locution, aspect"
extend,நீட்டிக்க,Nīṭṭikka,"stretch_out, pass, go, extend, protract, run, unfold, lead, widen, hold_out, strain, reach_out, draw_out, put_out, offer, stretch_forth, exsert, poke_out, continue, cover, gallop, expand, broaden, stretch, carry, prolong"
